"country","year","militaryexpenditures","lifeExp","GDPpercap","GDP","HIV","healthcare","womenEd","menEd"
"El Salvador",1990,4.19815907806709,67.7,3140093.05917964,16745620149901.7,150,NA,4.3,5.1
"Ethiopia",1990,6.4971583362973,45.2,255776.254827298,12467365475925.6,NA,NA,0.3,1.1
"Fiji",1990,2.28282828282828,65.1,3666368.72740522,2670546317354.68,60,NA,6.3,7.5
"Finland",1990,1.54171704957678,75.1,39842046.3230154,198669614888520,60,NA,9.8,10
"France",1990,3.42328306934533,77.2,37463324.043975,2183197199633860,8100,NA,8.2,8.5
"Gambia",1990,1.09274310727428,61.3,1172594.10524819,1138331367919.43,60,NA,0.8,2
"Germany",1990,2.46836224058457,75.4,39201686.3831594,3113908691322420,2500,NA,9.6,10.7
"Ghana",1990,0.468556879596506,58,442143.339105778,6533773676000.26,600,NA,2.8,5.5
"Greece",1990,3.42204792444125,77,19436199.6752877,197411575354329,150,NA,7.4,8.5
"Guatemala",1990,1.47157678435453,64.6,2888618.47463188,25775521058160.4,350,NA,2.2,3.3
"Guyana",1990,0.90647944603461,64.2,1219828.8441808,884291743840.828,150,NA,6.5,7.5
"Hungary",1990,2.79321480314343,69.5,8717408.64805894,90434292706059.6,350,NA,9.3,9.7
"India",1990,3.13879409144004,58.2,632857.155751364,552981373991068,5300,NA,1.7,4.3
"Indonesia",1990,0.869271185760232,64,1184192.14065807,218301012126032,60,NA,3.1,5.1
"Iran",1990,2.05012548820777,66,2562165.62216602,140587521430808,150,NA,2.3,4.4
"Ireland",1990,1.26156617978211,76.3,28148887.1723426,NA,60,NA,9.3,9
"Israel",1990,12.8950876924895,76.7,30565375.6851196,142434650692658,60,NA,10.1,10.7
"Italy",1990,2.06230250473095,77,33199840.178969,1884303222540056,1600,NA,7.8,8.8
"Jamaica",1990,0.597140918478575,74.8,6318725.13351792,15101753069107.8,350,NA,7.7,7.7
"Japan",1990,0.912120845637896,79,68473428.5292836,8459001940222100,350,NA,10.4,10.7
"Jordan",1990,8.02008769628602,71.5,3235760.6645867,10257361306739.8,NA,NA,4.2,7.2
"Kenya",1990,2.87527170121244,61.8,900343.642544028,21087136744141.2,10000,NA,2.6,5
"South Korea",1990,3.8330758666201,71.8,13790934.1116176,591203554430932,150,NA,NA,NA
"Kuwait",1990,48.7074163400663,77.2,NA,NA,NA,NA,3.7,5
"Lebanon",1990,7.5519515489067,69.3,6133458.6324481,18083717695068.3,60,NA,4.6,5.9
"Lesotho",1990,5.10364264256551,60.5,615383.759707284,1008722905085.71,60,NA,5.1,3.8
"Liberia",1990,3.69406867845994,48.6,384029.084927988,816867510679.346,60,NA,0.9,3.5
"Luxembourg",1990,0.763130063130124,75.2,64947972.1045928,24802578398514.8,60,NA,8.6,9.9
"Madagascar",1990,1.22714502872862,56,578988.216963162,6531183118648.14,600,NA,2.2,3.2
"Malawi",1990,1.29178387361422,48.8,265011.070370168,2486040563095.56,14000,NA,1.6,3.7
